"Horodateur","Sur dix cours magistraux prévus de 8h à 10h, vous estimez être présent(e) combien de fois?","Même question pour des cours de 10h à 12h","Même question de 14h à 16h","Même question de 16h à 18h","Dans quelle école ou partie de Rennes 1 étudiez-vous?","En quelle année êtes-vous?"
"2019/01/11 3:08:13 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:08:35 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:08:44 PM UTC+2","5","7","7","4","École Supérieure d'Ingénieurs de Rennes (ESIR)","M2"
"2019/01/11 3:08:48 PM UTC+2","8","9","10","7","OSUR","M2"
"2019/01/11 3:08:56 PM UTC+2","8","9","9","9","Informatique (ISTIC)","L3"
"2019/01/11 3:08:57 PM UTC+2","1","1","1","1","Informatique (ISTIC);Mathématiques","M2"
"2019/01/11 3:08:57 PM UTC+2","4","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 3:09:30 PM UTC+2","7","8","9","6","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:09:33 PM UTC+2","10","10","10","10","Mathématiques","M2"
"2019/01/11 3:09:48 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:10:13 PM UTC+2","9","10","10","10","Informatique (ISTIC);Mathématiques","M2"
"2019/01/11 3:10:31 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:10:36 PM UTC+2","10","10","4","1","Informatique (ISTIC)","L1"
"2019/01/11 3:10:36 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:10:57 PM UTC+2","8","9","9","9","Informatique (ISTIC)","L3"
"2019/01/11 3:11:00 PM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR)","L2"
"2019/01/11 3:11:05 PM UTC+2","9","10","8","8","Institut National des Sciences Appliquées de Rennes (INSA);Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:11:05 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:11:30 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:11:43 PM UTC+2","2","8","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 3:11:49 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 3:11:51 PM UTC+2","3","8","8","3","Mathématiques","M1"
"2019/01/11 3:11:59 PM UTC+2","9","9","9","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:11:59 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:12:18 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:12:22 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 3:12:23 PM UTC+2","6","9","9","7","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 3:12:37 PM UTC+2","9","10","10","10","Science et Propriété de la Matière (SPM)","L3"
