"Horodateur","Sur dix cours magistraux prévus de 8h à 10h, vous estimez être présent(e) combien de fois?","Même question pour des cours de 10h à 12h","Même question de 14h à 16h","Même question de 16h à 18h","Dans quelle école ou partie de Rennes 1 étudiez-vous?","En quelle année êtes-vous?"
"2019/01/11 6:26:50 PM UTC+2","9","10","10","9","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 6:26:52 PM UTC+2","8","8","8","8","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 6:27:11 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 6:27:11 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 6:27:34 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 6:31:17 PM UTC+2","10","10","10","10","ENS Rennes","M1"
"2019/01/11 6:31:47 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L2"
"2019/01/11 6:33:14 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 6:33:57 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 6:34:09 PM UTC+2","10","10","10","8","École Supérieure d'Ingénieurs de Rennes (ESIR)","L2"
"2019/01/11 6:34:56 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 6:36:46 PM UTC+2","10","10","10","6","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 6:38:26 PM UTC+2","10","10","10","10","Mathématiques","L2"
"2019/01/11 6:38:28 PM UTC+2","7","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 6:38:46 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L1"
"2019/01/11 6:39:07 PM UTC+2","8","9","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 6:39:25 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 6:39:26 PM UTC+2","10","10","10","10","Prepa chateaubriand","L2"
"2019/01/11 6:40:18 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 6:41:19 PM UTC+2","10","10","10","10","Philosophie","L2"
"2019/01/11 6:43:55 PM UTC+2","7","7","8","5","Mathématiques","L3"
"2019/01/11 6:45:50 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 6:46:15 PM UTC+2","3","5","8","9","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 6:46:33 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 6:52:18 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 6:52:50 PM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR)","L2"
"2019/01/11 6:54:06 PM UTC+2","2","4","6","6","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 6:54:08 PM UTC+2","6","9","10","8","Informatique (ISTIC)","L1"
"2019/01/11 6:56:01 PM UTC+2","4","9","9","7","Informatique (ISTIC)","L2"
"2019/01/11 6:57:54 PM UTC+2","8","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 7:00:38 PM UTC+2","9","9","9","8","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 7:00:44 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 7:03:18 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 7:03:40 PM UTC+2","3","7","9","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 7:04:20 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 7:05:25 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 7:05:55 PM UTC+2","9","10","10","8","Informatique (ISTIC)","M1"
"2019/01/11 7:06:20 PM UTC+2","2","1","2","1","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 7:06:23 PM UTC+2","5","8","8","8","Informatique (ISTIC)","L2"
"2019/01/11 7:08:40 PM UTC+2","6","8","9","7","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 7:10:04 PM UTC+2","1","1","1","1","Mathématiques","L3"
"2019/01/11 7:10:29 PM UTC+2","8","10","9","7","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 7:12:28 PM UTC+2","10","10","10","9","Mathématiques","M2"
"2019/01/11 7:13:18 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 7:14:30 PM UTC+2","9","10","10","10","Informatique (ISTIC)","L2"
"2019/01/11 7:14:44 PM UTC+2","4","9","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 7:14:51 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/11 7:14:58 PM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/11 7:17:06 PM UTC+2","8","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 7:17:45 PM UTC+2","9","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 7:18:04 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 7:20:42 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 7:21:11 PM UTC+2","8","10","10","9","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 7:23:30 PM UTC+2","10","10","10","10","Mathématiques","M1"
"2019/01/11 7:23:42 PM UTC+2","10","10","10","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 7:24:09 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 7:25:41 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 7:26:02 PM UTC+2","9","9","8","8","Informatique (ISTIC)","L3"
"2019/01/11 7:27:04 PM UTC+2","8","9","9","8","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 7:27:27 PM UTC+2","9","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 7:29:10 PM UTC+2","7","9","9","9","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 7:32:21 PM UTC+2","7","9","9","9","Informatique (ISTIC)","L2"
"2019/01/11 7:32:30 PM UTC+2","10","10","10","10","Mathématiques","M2"
"2019/01/11 7:34:37 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 7:35:11 PM UTC+2","8","10","10","8","Informatique (ISTIC)","L2"
"2019/01/11 7:38:19 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 7:41:26 PM UTC+2","8","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 7:41:30 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 7:41:42 PM UTC+2","1","1","1","1","Informatique (ISTIC)","M1"
"2019/01/11 7:41:56 PM UTC+2","10","10","10","9","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 7:42:02 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 7:42:16 PM UTC+2","10","10","10","10","Mathématiques","L2"
"2019/01/11 7:42:57 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 7:44:12 PM UTC+2","8","10","10","3","Informatique (ISTIC)","L1"
"2019/01/11 7:46:30 PM UTC+2","10","10","10","10","BECV","L1"
"2019/01/11 7:47:13 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 7:50:04 PM UTC+2","7","9","9","8","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 7:52:33 PM UTC+2","8","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 7:53:46 PM UTC+2","8","10","10","8","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 7:55:31 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 7:55:56 PM UTC+2","1","5","4","4","Informatique (ISTIC)","M2"
"2019/01/11 7:56:20 PM UTC+2","4","6","8","6","Mathématiques","L2"
"2019/01/11 7:59:37 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 7:59:38 PM UTC+2","8","8","8","7","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 7:59:42 PM UTC+2","9","10","10","10","École Normale Supérieure de Rennes","M1"
"2019/01/11 7:59:43 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 8:00:37 PM UTC+2","7","7","7","7","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 8:01:05 PM UTC+2","4","6","7","6","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 8:01:35 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 8:03:13 PM UTC+2","8","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 8:04:18 PM UTC+2","6","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 8:04:40 PM UTC+2","10","10","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 8:05:36 PM UTC+2","8","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 8:05:42 PM UTC+2","7","9","8","7","Informatique (ISTIC)","L3"
"2019/01/11 8:05:56 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 8:07:24 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 8:07:32 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 8:07:43 PM UTC+2","9","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR);Informatique (ISTIC)","L2"
"2019/01/11 8:08:10 PM UTC+2","10","10","10","10","Mathématiques","M2"
"2019/01/11 8:08:32 PM UTC+2","3","7","9","9","Informatique (ISTIC)","M2"
"2019/01/11 8:09:41 PM UTC+2","8","9","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 8:11:53 PM UTC+2","10","9","9","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 8:13:11 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 8:19:55 PM UTC+2","9","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 8:20:32 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 8:20:48 PM UTC+2","7","5","6","6","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 8:21:11 PM UTC+2","8","10","9","7","Informatique (ISTIC)","L1"
"2019/01/11 8:21:40 PM UTC+2","10","10","10","10","Mathématiques","Ajac L2-L3"
"2019/01/11 8:21:45 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/11 8:27:34 PM UTC+2","8","8","9","9","Informatique (ISTIC);EIT Digital","M1"
"2019/01/11 8:29:02 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 8:29:26 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 8:30:00 PM UTC+2","1","1","1","1","Informatique (ISTIC)","L3"
"2019/01/11 8:33:03 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/11 8:33:45 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 8:35:39 PM UTC+2","8","8","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 8:36:10 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L1"
"2019/01/11 8:37:49 PM UTC+2","1","5","9","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 8:40:03 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 8:41:21 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 8:43:02 PM UTC+2","10","10","10","8","Informatique (ISTIC)","L3"
"2019/01/11 8:44:09 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 8:44:29 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 8:46:16 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 8:48:45 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 8:49:52 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 8:55:29 PM UTC+2","4","10","9","5","Informatique (ISTIC)","L3"
"2019/01/11 8:57:56 PM UTC+2","10","10","10","10","Mathématiques","L2"
"2019/01/11 8:59:18 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 8:59:24 PM UTC+2","9","9","9","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 9:00:11 PM UTC+2","7","8","8","3","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 9:02:56 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 9:02:59 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 9:03:43 PM UTC+2","7","9","10","10","Mathématiques","L3"
"2019/01/11 9:05:11 PM UTC+2","9","9","9","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 9:05:45 PM UTC+2","10","10","10","10","Mathématiques","L2"
"2019/01/11 9:06:21 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 9:06:24 PM UTC+2","9","10","10","10","OSUR","M1"
"2019/01/11 9:08:11 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 9:18:40 PM UTC+2","5","10","10","5","Informatique (ISTIC)","L2"
"2019/01/11 9:19:08 PM UTC+2","8","10","10","8","Science et Propriété de la Matière (SPM)","M2"
"2019/01/11 9:20:47 PM UTC+2","6","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 9:22:21 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L1"
"2019/01/11 9:23:50 PM UTC+2","8","9","10","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 9:23:51 PM UTC+2","6","7","8","6","Informatique (ISTIC)","M1"
"2019/01/11 9:24:34 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 9:24:34 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/11 9:25:55 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 9:26:35 PM UTC+2","9","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 9:30:13 PM UTC+2","9","10","10","9","Informatique (ISTIC)","M1"
"2019/01/11 9:30:52 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 9:32:45 PM UTC+2","9","10","10","10","OSUR","M2"
"2019/01/11 9:34:23 PM UTC+2","9","9","8","8","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 9:36:55 PM UTC+2","9","9","10","10","Informatique (ISTIC)","L3"
"2019/01/11 9:38:31 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 9:40:58 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 9:49:27 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 9:52:09 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 9:52:17 PM UTC+2","10","10","10","10","Philosophie","L1"
"2019/01/11 9:56:42 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 9:59:02 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 10:03:21 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 10:04:45 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 10:04:57 PM UTC+2","8","9","10","8","Informatique (ISTIC)","L3"
"2019/01/11 10:05:46 PM UTC+2","10","8","8","7","Informatique (ISTIC)","M2"
"2019/01/11 10:07:51 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 10:10:19 PM UTC+2","6","10","10","9","Informatique (ISTIC)","L2"
"2019/01/11 10:11:23 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 10:11:54 PM UTC+2","2","6","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 10:12:50 PM UTC+2","10","10","10","9","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 10:18:33 PM UTC+2","8","10","10","8","Informatique (ISTIC)","L1"
"2019/01/11 10:18:58 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/11 10:20:13 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/11 10:20:28 PM UTC+2","4","7","7","4","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 10:25:33 PM UTC+2","1","9","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 10:26:37 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 10:26:42 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 10:28:45 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/11 10:30:30 PM UTC+2","7","9","10","8","Science et Propriété de la Matière (SPM)","M2"
"2019/01/11 10:31:33 PM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/11 10:32:05 PM UTC+2","10","10","10","10","Mathématiques","M1"
"2019/01/11 10:32:15 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 10:45:16 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 10:46:38 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","AJAC L1 (S1) et L2 (S4)"
"2019/01/11 10:51:05 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 10:51:58 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 10:52:28 PM UTC+2","10","10","10","10","Mathématiques","L2"
"2019/01/11 10:55:06 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 10:55:41 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 10:57:12 PM UTC+2","4","8","10","9","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 10:57:22 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 11:02:50 PM UTC+2","8","9","10","10","Mathématiques","L1"
"2019/01/11 11:04:32 PM UTC+2","3","9","9","9","Informatique (ISTIC)","L3"
"2019/01/11 11:05:03 PM UTC+2","6","8","8","7","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 11:05:58 PM UTC+2","5","9","8","7","Science et Propriété de la Matière (SPM)","L'absentéisme dépend plus de la matière que de l'heure"
"2019/01/11 11:06:05 PM UTC+2","10","10","10","8","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 11:25:26 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 11:29:13 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 11:34:45 PM UTC+2","7","9","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 11:36:00 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 11:36:44 PM UTC+2","10","10","10","8","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 11:40:58 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 11:41:00 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M2"
"2019/01/11 11:43:13 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 11:43:25 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L3"
"2019/01/11 11:43:49 PM UTC+2","8","10","10","8","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 11:45:29 PM UTC+2","6","9","9","8","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 11:49:03 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 11:53:45 PM UTC+2","9","9","10","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 11:56:24 PM UTC+2","7","9","9","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 11:57:03 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 11:58:48 PM UTC+2","10","10","10","10","Mathématiques","M1"
"2019/01/12 12:07:09 AM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M1"
"2019/01/12 12:09:09 AM UTC+2","9","10","10","10","Mathématiques","L2"
"2019/01/12 12:11:52 AM UTC+2","10","10","10","4","Informatique (ISTIC)","L1"
"2019/01/12 12:12:27 AM UTC+2","9","10","10","7","Science et Propriété de la Matière (SPM)","L2"
"2019/01/12 12:13:08 AM UTC+2","9","10","10","10","Mathématiques","M2"
"2019/01/12 12:13:43 AM UTC+2","10","10","10","10","Observatoire des Sciences de l'Univers de Rennes (OSUR)","L3"
"2019/01/12 12:15:36 AM UTC+2","7","9","9","10","Mathématiques","L1"
"2019/01/12 12:17:32 AM UTC+2","2","7","9","9","Science et Propriété de la Matière (SPM)","M1"
"2019/01/12 12:19:26 AM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/12 12:23:13 AM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR)","L2"
"2019/01/12 12:34:50 AM UTC+2","9","9","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/12 12:49:17 AM UTC+2","10","10","10","10","","L3"
"2019/01/12 12:54:48 AM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/12 12:59:12 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/12 1:00:12 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/12 1:02:06 AM UTC+2","10","10","7","6","Informatique (ISTIC)","L1"
"2019/01/12 1:17:49 AM UTC+2","9","10","10","7","Mathématiques","L3"
"2019/01/12 1:22:04 AM UTC+2","7","7","7","7","Mathématiques;ENS Rennes","L3"
"2019/01/12 1:28:31 AM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR);Informatique (ISTIC)","L2"
"2019/01/12 1:37:26 AM UTC+2","5","10","10","7","Science et Propriété de la Matière (SPM)","L2"
"2019/01/12 1:38:37 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/12 1:42:55 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/12 1:45:04 AM UTC+2","8","8","9","9","Informatique (ISTIC)","M1"
"2019/01/12 1:47:54 AM UTC+2","3","7","7","7","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/12 1:54:01 AM UTC+2","9","10","10","10","Mathématiques","M2"
"2019/01/12 1:55:32 AM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR);Informatique (ISTIC)","L1"
"2019/01/12 2:04:28 AM UTC+2","5","9","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/12 2:15:41 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/12 2:21:51 AM UTC+2","8","9","9","9","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/12 2:27:41 AM UTC+2","8","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/12 2:28:52 AM UTC+2","10","10","10","10","Mathématiques","L2"
"2019/01/12 2:35:52 AM UTC+2","10","10","10","10","Philosophie","M1"
"2019/01/12 2:52:10 AM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/12 3:20:50 AM UTC+2","6","10","10","8","Science et Propriété de la Matière (SPM)","L2"
"2019/01/12 3:24:38 AM UTC+2","9","9","9","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/12 3:24:54 AM UTC+2","7","9","10","10","Mathématiques","L3"
"2019/01/12 3:50:30 AM UTC+2","10","10","10","10","Mathématiques","L2"
"2019/01/12 4:23:29 AM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/12 4:26:02 AM UTC+2","10","10","10","9","Informatique (ISTIC)","L3"
"2019/01/12 8:22:21 AM UTC+2","9","9","9","9","Informatique (ISTIC)","L3"
"2019/01/12 9:23:05 AM UTC+2","10","10","10","10","Mathématiques","M2"
"2019/01/12 9:35:52 AM UTC+2","8","9","9","7","École Supérieure d'Ingénieurs de Rennes (ESIR)","L2"
"2019/01/12 9:36:27 AM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/12 9:54:08 AM UTC+2","8","10","10","9","Informatique (ISTIC)","L2"
"2019/01/12 10:07:35 AM UTC+2","9","10","10","9","Mathématiques","M1"
"2019/01/12 10:18:43 AM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/12 10:21:00 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/12 10:25:12 AM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/12 10:34:08 AM UTC+2","5","9","10","5","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/12 10:34:47 AM UTC+2","10","10","10","10","Mathématiques","L2"
"2019/01/12 10:39:43 AM UTC+2","10","10","10","10","Mathématiques","L1"
"2019/01/12 10:43:20 AM UTC+2","10","10","10","10","Mathématiques","M1"
"2019/01/12 11:00:56 AM UTC+2","10","9","8","7","Informatique (ISTIC)","L3"
"2019/01/12 11:05:47 AM UTC+2","6","10","10","4","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/12 11:06:10 AM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/12 11:06:32 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/12 11:09:52 AM UTC+2","9","10","10","9","Informatique (ISTIC)","L1"
"2019/01/12 11:10:16 AM UTC+2","8","10","10","9","Mathématiques","L2"
"2019/01/12 11:10:16 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/12 11:11:36 AM UTC+2","8","10","10","8","École Supérieure d'Ingénieurs de Rennes (ESIR)","L2"
"2019/01/12 11:12:05 AM UTC+2","8","10","10","9","Mathématiques","M2"
"2019/01/12 11:14:27 AM UTC+2","10","10","10","10","Informatique (ISTIC)","M1"
"2019/01/12 11:16:44 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/12 11:17:23 AM UTC+2","9","9","9","7","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/12 11:24:20 AM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/12 11:29:54 AM UTC+2","9","9","9","9","Science et Propriété de la Matière (SPM)","L1"
"2019/01/12 11:37:14 AM UTC+2","8","10","10","10","Science et Propriété de la Matière (SPM)","L1"
